"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"598",2,4,57,18.4,18.5,79,80
"599",2,4,58,18.3,18.5,84,80
"600",2,4,59,18.4,18.5,77,80
"601",2,5,0,18.5,18.5,84,80
"602",2,5,1,18.2,18.5,80,80
"603",2,5,2,18.5,18.5,84,80
"604",2,5,3,18.2,18.5,82,80
"605",2,5,4,18.5,18.5,81,80
"606",2,5,5,18.3,18.5,83,80
"607",2,5,6,18.4,18.5,77,80
"608",2,5,7,18.4,18.5,84,80
"609",2,5,8,18.2,18.5,79,80
"610",2,5,9,18.5,18.5,85,80
"611",2,5,10,18.2,18.5,82,80
"612",2,5,11,18.5,18.5,83,80
"613",2,5,12,18.2,18.5,83,80
"614",2,5,13,18.5,18.5,78,80
"615",2,5,14,18.3,18.5,84,80
"616",2,5,15,18.3,18.5,78,80
"617",2,5,16,18.5,18.5,84,80
"618",2,5,17,18.2,18.5,81,80
"619",2,5,18,18.5,18.5,84,80
"620",2,5,19,18.2,18.5,82,80
"621",2,5,20,18.5,18.5,80,80
"622",2,5,21,18.3,18.5,83,80
"623",2,5,22,18.4,18.5,77,80
"624",2,5,23,18.4,18.5,84,80
"625",2,5,24,18.3,18.5,78,80
"626",2,5,25,18.5,18.5,85,80
"627",2,5,26,18.2,18.5,81,80
"628",2,5,27,18.5,18.5,82,80
"629",2,5,28,18.2,18.5,83,80
"630",2,5,29,18.5,18.5,80,80
"631",2,5,30,18.3,18.5,84,80
"632",2,5,31,18.4,18.5,77,80
"633",2,5,32,18.4,18.5,84,80
"634",2,5,33,18.3,18.5,81,80
"635",2,5,34,18.5,18.5,84,80
"636",2,5,35,18.1,18.5,83,80
"637",2,5,36,18.4,18.5,80,80
"638",2,5,37,18.3,18.5,84,80
"639",2,5,38,18.4,18.5,77,80
"640",2,5,39,18.5,18.5,84,80
"641",2,5,40,18.4,18.5,80,80
"642",2,5,41,18.5,18.5,85,80
"643",2,5,42,18.2,18.5,82,80
"644",2,5,43,19,24.3,75,63
"645",2,5,44,20,24.3,66,63
"646",2,5,45,21,24.3,65,63
"647",2,5,46,22.1,24.3,63,63
"648",2,5,47,23.1,24.3,61,63
"649",2,5,48,23.8,24.3,59,63
"650",2,5,49,23.7,24.3,60,63
"651",2,5,50,23.7,24.3,63,63
"652",2,5,51,23.7,24.3,64,63
"653",2,5,52,23.7,24.3,66,63
"654",2,5,53,23.8,24.3,67,63
"655",2,5,54,23.7,24.3,68,63
